                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 12:39:39   -45530.048724*      15.2013
BFGSLineSearch:    1[  2] 13:42:24   -45531.515467*      12.3818
BFGSLineSearch:    2[  4] 14:42:41   -45533.625532*       6.0253
BFGSLineSearch:    3[  5] 15:16:27   -45534.554927*       4.9972
BFGSLineSearch:    4[  7] 16:57:32   -45535.375001*       4.7869
BFGSLineSearch:    5[  9] 18:12:50   -45535.818672*       2.5036
BFGSLineSearch:    6[ 11] 19:00:03   -45536.383969*       1.6574
BFGSLineSearch:    7[ 13] 19:51:19   -45536.458781*       1.2832
BFGSLineSearch:    8[ 15] 20:43:06   -45536.535871*       1.3739
BFGSLineSearch:    9[ 17] 21:28:47   -45536.561227*       2.2224
BFGSLineSearch:   10[ 19] 22:20:56   -45536.597407*       2.9124
BFGSLineSearch:   11[ 21] 23:06:33   -45536.640310*       3.0691
BFGSLineSearch:   12[ 22] 23:27:07   -45536.673724*       2.4828
BFGSLineSearch:   13[ 23] 23:48:13   -45536.707158*       2.0641
BFGSLineSearch:   14[ 25] 00:19:57   -45536.719387*       2.4064
BFGSLineSearch:   15[ 27] 00:54:46   -45536.732572*       2.5190
BFGSLineSearch:   16[ 29] 01:30:32   -45536.741444*       2.5851
